Rank,Title,Studio,Worldwide,Domestic,%,Overseas,%,Year^
47,The Jungle Book (2016),BV,$966.6,$364.0,37.7%,$602.5,62.3%,2016
48,Pirates of the Caribbean: At World's End,BV,$963.4,$309.4,32.1%,$654.0,67.9%,2007
49,Jumanji: Welcome to the Jungle,Sony,$962.1,$404.6,42.0%,$557.6,58.0%,2017^
50,Harry Potter and the Deathly Hallows Part 1,WB,$961.0,$296.1,30.8%,$664.8,69.2%,2010^
51,The Hobbit: The Desolation of Smaug,WB (NL),$958.4,$258.4,27.0%,$700.0,73.0%,2013
52,The Hobbit: The Battle of the Five Armies,WB (NL),$956.0,$255.1,26.7%,$700.9,73.3%,2014
53,Finding Nemo,BV,$940.3,$380.8,40.5%,$559.5,59.5%,2003^
54,Harry Potter and the Order of the Phoenix,WB,$940.0,$292.1,31.1%,$647.9,68.9%,2007^
55,Harry Potter and the Half-Blood Prince,WB,$934.5,$302.1,32.3%,$632.5,67.7%,2009^
56,The Lord of the Rings: The Two Towers,NL,$926.0,$342.6,37.0%,$583.5,63.0%,2002^
57,Shrek 2,DW,$919.8,$441.2,48.0%,$478.6,52.0%,2004
58,Bohemian Rhapsody,Fox,$903.7,$216.4,24.0%,$687.2,76.0%,2018
59,Harry Potter and the Goblet of Fire,WB,$897.1,$290.2,32.3%,$606.9,67.7%,2005^
60,Spider-Man 3,Sony,$890.9,$336.5,37.8%,$554.3,62.2%,2007
61,Ice Age: Dawn of the Dinosaurs,Fox,$888.8,$196.6,22.1%,$692.2,77.9%,2009
62,Spectre,Sony,$880.7,$200.1,22.7%,$680.6,77.3%,2015
63,Spider-Man: Homecoming,Sony,$880.2,$334.2,38.0%,$546.0,62.0%,2017
64,Harry Potter and the Chamber of Secrets,WB,$879.2,$262.2,29.8%,$617.0,70.2%,2002^
65,Ice Age: Continental Drift,Fox,$877.2,$161.3,18.4%,$715.9,81.6%,2012
66,The Secret Life of Pets,Uni.,$875.5,$368.4,42.1%,$507.1,57.9%,2016
67,Batman v Superman: Dawn of Justice,WB,$873.6,$330.4,37.8%,$543.3,62.2%,2016
68,The Lord of the Rings: The Fellowship of the Ring,NL,$871.5,$315.5,36.2%,$556.0,63.8%,2001^
69,Wolf Warrior 2,HC,$870.3,$2.7,0.3%,$867.6,99.7%,2017
70,The Hunger Games: Catching Fire,LGF,$865.0,$424.7,49.1%,$440.3,50.9%,2013
71,Guardians of the Galaxy Vol. 2,BV,$863.8,$389.8,45.1%,$473.9,54.9%,2017
72,Inside Out,BV,$857.6,$356.5,41.6%,$501.1,58.4%,2015
73,Venom (2018),Sony,$856.1,$213.5,24.9%,$642.6,75.1%,2018
74,Thor: Ragnarok,BV,$854.0,$315.1,36.9%,$538.9,63.1%,2017
75,Star Wars: Episode III - Revenge of the Sith,Fox,$848.8,$380.3,44.8%,$468.5,55.2%,2005^
76,Transformers: Revenge of the Fallen,P/DW,$836.3,$402.1,48.1%,$434.2,51.9%,2009
77,The Twilight Saga: Breaking Dawn Part 2,LG/S,$829.7,$292.3,35.2%,$537.4,64.8%,2012
78,Inception,WB,$828.3,$292.6,35.3%,$535.7,64.7%,2010
79,Wonder Woman,WB,$821.8,$412.6,50.2%,$409.3,49.8%,2017
80,Spider-Man,Sony,$821.7,$403.7,49.1%,$418.0,50.9%,2002
81,Independence Day,Fox,$817.4,$306.2,37.5%,$511.2,62.5%,1996^
82,Fantastic Beasts and Where To Find Them,WB,$814.0,$234.0,28.8%,$580.0,71.2%,2016
83,Coco,BV,$807.1,$209.7,26.0%,$597.4,74.0%,2017
84,Shrek the Third,P/DW,$799.0,$322.7,40.4%,$476.2,59.6%,2007
85,Harry Potter and the Prisoner of Azkaban,WB,$796.9,$249.8,31.3%,$547.1,68.7%,2004^
86,Pirates of the Caribbean: Dead Men Tell No Tales,BV,$794.9,$172.6,21.7%,$622.3,78.3%,2017
87,E.T.: The Extra-Terrestrial,Uni.,$792.9,$435.1,54.9%,$357.8,45.1%,1982^
88,Mission: Impossible - Fallout,Par.,$791.1,$220.2,27.8%,$571.0,72.2%,2018
89,Fast & Furious 6,Uni.,$788.7,$238.7,30.3%,$550.0,69.7%,2013
90,Indiana Jones and the Kingdom of the Crystal Skull,Par.,$786.6,$317.1,40.3%,$469.5,59.7%,2008
91,Deadpool 2,Fox,$785.0,$324.6,41.3%,$460.5,58.7%,2018^
92,Spider-Man 2,Sony,$783.8,$373.6,47.7%,$410.2,52.3%,2004
93,Deadpool,Fox,$783.1,$363.1,46.4%,$420.0,53.6%,2016
94,Star Wars,Fox,$775.4,$461.0,59.5%,$314.4,40.5%,1977^
95,Guardians of the Galaxy,BV,$773.3,$333.2,43.1%,$440.2,56.9%,2014
96,2012,Sony,$769.7,$166.1,21.6%,$603.6,78.4%,2009
97,Maleficent,BV,$758.5,$241.4,31.8%,$517.1,68.2%,2014
98,The Da Vinci Code,Sony,$758.2,$217.5,28.7%,$540.7,71.3%,2006
99,The Amazing Spider-Man,Sony,$757.9,$262.0,34.6%,$495.9,65.4%,2012
100,The Hunger Games: Mockingjay - Part 1,LGF,$755.4,$337.1,44.6%,$418.2,55.4%,2014
